ticker,period,quarter,horizon,actual,predicted,consensus,error,abs_error,pct_error,method,direction_correct,bias
ADBE,2020-05-29,Q2,Q+1,3128000000,3049227940,2974791836,-78772060,78772060,2.52,beat_adjusted,False,under
ADBE,2020-08-28,Q3,Q+1,3225000000,3117595709,3024221789,-107404291,107404291,3.33,beat_adjusted,False,under
ADBE,2020-08-28,Q3,Q+2,3225000000,3367791760,3024221789,142791760,142791760,4.43,stl_decomposition,True,over
ADBE,2020-11-27,Q4,Q+1,3424000000,3196607102,3081600000,-227392898,227392898,6.64,beat_adjusted,False,under
ADBE,2020-11-27,Q4,Q+2,3424000000,3476130170,3081600000,52130170,52130170,1.52,stl_decomposition,True,over
ADBE,2021-03-05,Q1,Q+2,3905000000,3568656429,,-336343571,336343571,8.61,stl_decomposition,False,under
ADBE,2021-12-03,Q4,Q+1,4110000000,4443863448,4240000000,333863448,333863448,8.12,beat_adjusted,False,over
ADBE,2022-03-04,Q1,Q+1,4262000000,4398740013,4240550475,136740013,136740013,3.21,beat_adjusted,True,over
ADBE,2022-03-04,Q1,Q+2,4262000000,4466154628,4240550475,204154628,204154628,4.79,stl_decomposition,True,over
ADBE,2022-06-03,Q2,Q+1,4386000000,4494467933,4344894722,108467933,108467933,2.47,beat_adjusted,True,over
ADBE,2022-06-03,Q2,Q+2,4386000000,4421242138,4344894722,35242138,35242138,0.8,stl_decomposition,True,over
ADBE,2022-09-02,Q3,Q+1,4433000000,4573913747,4438402741,140913747,140913747,3.18,beat_adjusted,False,over
ADBE,2022-09-02,Q3,Q+2,4433000000,4638673192,4438402741,205673192,205673192,4.64,stl_decomposition,False,over
ADBE,2022-12-02,Q4,Q+1,4525000000,4507559726,4527206515,-17440274,17440274,0.39,beat_adjusted,True,under
ADBE,2022-12-02,Q4,Q+2,4525000000,4718038817,4527206515,193038817,193038817,4.27,stl_decomposition,False,over
ADBE,2023-03-03,Q1,Q+1,4655000000,4638241302,4623430000,-16758698,16758698,0.36,beat_adjusted,False,under
ADBE,2023-03-03,Q1,Q+2,4655000000,4785762361,4623430000,130762361,130762361,2.81,stl_decomposition,True,over
ADBE,2023-06-02,Q2,Q+1,4816000000,4448269689,4432110000,-367730311,367730311,7.64,beat_adjusted,False,under
ADBE,2023-06-02,Q2,Q+2,4816000000,4918493994,4432110000,102493994,102493994,2.13,stl_decomposition,True,over
ADBE,2023-09-01,Q3,Q+1,4890000000,4978347519,4866730000,88347519,88347519,1.81,beat_adjusted,True,over
ADBE,2023-09-01,Q3,Q+2,4890000000,4948450566,4866730000,58450566,58450566,1.2,stl_decomposition,True,over
ADBE,2023-12-01,Q4,Q+1,5048000000,5066013869,5015620000,18013869,18013869,0.36,beat_adjusted,True,over
ADBE,2023-12-01,Q4,Q+2,5048000000,4966119518,5015620000,-81880482,81880482,1.62,stl_decomposition,False,under
ADBE,2024-03-01,Q1,Q+1,5182000000,5218974069,5143432923,36974069,36974069,0.71,beat_adjusted,True,over
ADBE,2024-03-01,Q1,Q+2,5182000000,5093605801,5143432923,-88394199,88394199,1.71,stl_decomposition,False,under
ADBE,2024-05-31,Q2,Q+1,5309000000,5370787190,5291458037,61787190,61787190,1.16,beat_adjusted,True,over
ADBE,2024-05-31,Q2,Q+2,5309000000,5270770949,5291458037,-38229051,38229051,0.72,stl_decomposition,False,under
ADBE,2024-08-30,Q3,Q+1,5408000000,5401582388,5371968421,-6417612,6417612,0.12,beat_adjusted,False,under
ADBE,2024-08-30,Q3,Q+2,5408000000,5375326183,5371968421,-32673817,32673817,0.6,stl_decomposition,False,under
ADBE,2024-11-29,Q4,Q+1,5606000000,5573168084,5539960692,-32831916,32831916,0.59,beat_adjusted,False,under
ADBE,2024-11-29,Q4,Q+2,5606000000,5528483569,5539960692,-77516431,77516431,1.38,stl_decomposition,False,under
ADBE,2025-02-28,Q1,Q+1,5714000000,5703184312,5661513687,-10815688,10815688,0.19,beat_adjusted,False,under
ADBE,2025-02-28,Q1,Q+2,5714000000,5680899647,5661513687,-33100353,33100353,0.58,stl_decomposition,False,under
ADBE,2025-05-30,Q2,Q+1,5873000000,5844581992,5799327321,-28418008,28418008,0.48,beat_adjusted,False,under
ADBE,2025-05-30,Q2,Q+2,5873000000,5843041873,5799327321,-29958127,29958127,0.51,stl_decomposition,False,under
ADBE,2025-08-29,Q3,Q+1,5988000000,5978073026,5918001977,-9926974,9926974,0.17,beat_adjusted,False,under
ADBE,2025-08-29,Q3,Q+2,5988000000,5939712609,5918001977,-48287391,48287391,0.81,stl_decomposition,False,under
ADBE,2025-11-28,Q4,Q+1,6194000000,6180094587,6110250000,-13905413,13905413,0.22,beat_adjusted,False,under
ADBE,2025-11-28,Q4,Q+2,6194000000,6149499738,6110250000,-44500262,44500262,0.72,stl_decomposition,False,under
ADBE,2026-02-27,Q1,Q+1,6398000000,6351061474,6276514000,-46938526,46938526,0.73,beat_adjusted,False,under
ADBE,2026-02-27,Q1,Q+2,6398000000,6285736494,6276514000,-112263506,112263506,1.75,stl_decomposition,False,under
ADSK,2020-04-30,Q2,Q+1,883000000,858127035,833600000,-24872965,24872965,2.82,beat_adjusted,False,under
ADSK,2020-07-31,Q3,Q+1,911500000,885533756,838561224,-25966244,25966244,2.85,beat_adjusted,False,under
ADSK,2020-07-31,Q3,Q+2,911500000,941181042,838561224,29681042,29681042,3.26,stl_decomposition,True,over
ADSK,2020-10-31,Q4,Q+1,952600000,928068519,873033333,-24531481,24531481,2.58,beat_adjusted,False,under
ADSK,2020-10-31,Q4,Q+2,952600000,999689258,873033333,47089258,47089258,4.94,stl_decomposition,True,over
ADSK,2021-01-31,Q1,Q+1,1043600000,994429371,932366355,-49170629,49170629,4.71,beat_adjusted,False,under
ADSK,2021-01-31,Q1,Q+2,1043600000,1048614828,932366355,5014828,5014828,0.48,stl_decomposition,True,over
ADSK,2021-04-30,Q2,Q+1,994800000,1050799164,964770000,55999164,55999164,5.63,beat_adjusted,True,over
ADSK,2021-04-30,Q2,Q+2,994800000,1022177616,964770000,27377616,27377616,2.75,stl_decomposition,True,over
ADSK,2021-07-31,Q3,Q+1,1064800000,1195248718,1118020000,130448718,130448718,12.25,beat_adjusted,False,over
ADSK,2021-07-31,Q3,Q+2,1064800000,1043581670,1118020000,-21218330,21218330,1.99,stl_decomposition,True,under
ADSK,2021-10-31,Q4,Q+1,1128800000,1262040581,1195380000,133240581,133240581,11.8,beat_adjusted,False,over
ADSK,2021-10-31,Q4,Q+2,1128800000,1083550781,1195380000,-45249219,45249219,4.01,stl_decomposition,True,under
ADSK,2022-01-31,Q1,Q+1,1209900000,1241620613,1194815288,31720613,31720613,2.62,beat_adjusted,True,over
ADSK,2022-01-31,Q1,Q+2,1209900000,1182914891,1194815288,-26985109,26985109,2.23,stl_decomposition,False,under
ADSK,2022-04-30,Q2,Q+1,1164000000,1130913509,1148003857,-33086491,33086491,2.84,beat_adjusted,False,under
ADSK,2022-04-30,Q2,Q+2,1164000000,1161161288,1148003857,-2838712,2838712,0.24,stl_decomposition,False,under
ADSK,2022-07-31,Q3,Q+1,1226000000,1201382666,1224882266,-24617334,24617334,2.01,beat_adjusted,False,under
ADSK,2022-07-31,Q3,Q+2,1226000000,1224526770,1224882266,-1473230,1473230,0.12,stl_decomposition,False,under
ADSK,2022-10-31,Q4,Q+1,1261000000,1272080520,1281120822,11080520,11080520,0.88,beat_adjusted,False,over
ADSK,2022-10-31,Q4,Q+2,1261000000,1291824452,1281120822,30824452,30824452,2.44,stl_decomposition,False,over
ADSK,2023-01-31,Q1,Q+1,1294000000,1317360952,1313497332,23360952,23360952,1.81,beat_adjusted,False,over
ADSK,2023-01-31,Q1,Q+2,1294000000,1382877088,1313497332,88877088,88877088,6.87,stl_decomposition,False,over
ADSK,2023-04-30,Q2,Q+1,1249000000,1263719378,1268700000,14719378,14719378,1.18,beat_adjusted,False,over
ADSK,2023-04-30,Q2,Q+2,1249000000,1315984126,1268700000,66984126,66984126,5.36,stl_decomposition,False,over
ADSK,2023-07-31,Q3,Q+1,1328000000,1305510922,1320420000,-22489078,22489078,1.69,beat_adjusted,False,under
ADSK,2023-07-31,Q3,Q+2,1328000000,1333704576,1320420000,5704576,5704576,0.43,stl_decomposition,True,over
ADSK,2023-10-31,Q4,Q+1,1400000000,1370944367,1384910000,-29055633,29055633,2.08,beat_adjusted,False,under
ADSK,2023-10-31,Q4,Q+2,1400000000,1354823832,1384910000,-45176168,45176168,3.23,stl_decomposition,False,under
ADSK,2024-01-31,Q1,Q+1,1463000000,1431289141,1431641508,-31710859,31710859,2.17,beat_adjusted,False,under
ADSK,2024-01-31,Q1,Q+2,1463000000,1404294526,1431641508,-58705474,58705474,4.01,stl_decomposition,False,under
ADSK,2024-04-30,Q2,Q+1,1412000000,1401893037,1400613278,-10106963,10106963,0.72,beat_adjusted,False,under
ADSK,2024-04-30,Q2,Q+2,1412000000,1368518794,1400613278,-43481206,43481206,3.08,stl_decomposition,False,under
ADSK,2024-07-31,Q3,Q+1,1500000000,1499641496,1482346113,-358504,358504,0.02,beat_adjusted,False,under
ADSK,2024-07-31,Q3,Q+2,1500000000,1452704603,1482346113,-47295397,47295397,3.15,stl_decomposition,False,under
ADSK,2024-10-31,Q4,Q+1,1567000000,1582734405,1562099415,15734405,15734405,1.0,beat_adjusted,True,over
ADSK,2024-10-31,Q4,Q+2,1567000000,1557959104,1562099415,-9040896,9040896,0.58,stl_decomposition,False,under
ADSK,2025-01-31,Q1,Q+1,1652000000,1650330699,1631938634,-1669301,1669301,0.1,beat_adjusted,False,under
ADSK,2025-01-31,Q1,Q+2,1652000000,1627612308,1631938634,-24387692,24387692,1.48,stl_decomposition,False,under
ADSK,2025-04-30,Q2,Q+1,1633000000,1620913945,1606667074,-12086055,12086055,0.74,beat_adjusted,False,under
ADSK,2025-04-30,Q2,Q+2,1633000000,1573825480,1606667074,-59174520,59174520,3.62,stl_decomposition,False,under
ADSK,2025-07-31,Q3,Q+1,1763000000,1743593868,1724738445,-19406132,19406132,1.1,beat_adjusted,False,under
ADSK,2025-07-31,Q3,Q+2,1763000000,1673909973,1724738445,-89090027,89090027,5.05,stl_decomposition,False,under
ADSK,2025-10-31,Q4,Q+1,1853000000,1831295650,1807160340,-21704350,21704350,1.17,beat_adjusted,False,under
ADSK,2025-10-31,Q4,Q+2,1853000000,1776639818,1807160340,-76360182,76360182,4.12,stl_decomposition,False,under
ADSK,2026-01-31,Q1,Q+1,1957000000,1950529127,1914051000,-6470873,6470873,0.33,beat_adjusted,False,under
ADSK,2026-01-31,Q1,Q+2,1957000000,1886549090,1914051000,-70450910,70450910,3.6,stl_decomposition,False,under
APP,2023-03-31,Q1,Q+1,715405000,643261739,693510000,-72143261,72143261,10.08,beat_adjusted,False,under
APP,2023-06-30,Q2,Q+1,750165000,719627152,724270000,-30537848,30537848,4.07,beat_adjusted,False,under
APP,2023-06-30,Q2,Q+2,750165000,875087189,724270000,124922189,124922189,16.65,stl_decomposition,True,over
APP,2023-09-30,Q3,Q+1,864256000,810530424,797950000,-53725576,53725576,6.22,beat_adjusted,False,under
APP,2023-09-30,Q3,Q+2,864256000,803814930,797950000,-60441070,60441070,6.99,stl_decomposition,False,under
APP,2023-12-31,Q4,Q+1,953261000,966910022,928170000,13649022,13649022,1.43,beat_adjusted,True,over
APP,2023-12-31,Q4,Q+2,953261000,671147531,928170000,-282113469,282113469,29.59,stl_decomposition,False,under
APP,2024-03-31,Q1,Q+1,1058115000,1016892538,973696275,-41222462,41222462,3.9,beat_adjusted,False,under
APP,2024-03-31,Q1,Q+2,1058115000,761822752,973696275,-296292248,296292248,28.0,stl_decomposition,False,under
APP,2024-06-30,Q2,Q+1,711015000,1143549344,1080711209,432534344,432534344,60.83,beat_adjusted,False,over
APP,2024-06-30,Q2,Q+2,711015000,910147502,1080711209,199132502,199132502,28.01,stl_decomposition,False,over
APP,2024-09-30,Q3,Q+1,835186000,1119807987,1131432734,284621987,284621987,34.08,beat_adjusted,False,over
APP,2024-09-30,Q3,Q+2,835186000,1135969008,1131432734,300783008,300783008,36.01,stl_decomposition,False,over
APP,2024-12-31,Q4,Q+1,2104932000,1210531480,1261501671,-894400520,894400520,42.49,beat_adjusted,False,under
APP,2024-12-31,Q4,Q+2,2104932000,1097754747,1261501671,-1007177253,1007177253,47.85,stl_decomposition,False,under
APP,2025-03-31,Q1,Q+1,1484021000,1437814273,1381048854,-46206727,46206727,3.11,beat_adjusted,False,under
APP,2025-03-31,Q1,Q+2,1484021000,689118209,1381048854,-794902791,794902791,53.56,stl_decomposition,False,under
APP,2025-06-30,Q2,Q+1,1258754000,1281273915,1224369137,22519915,22519915,1.79,beat_adjusted,True,over
APP,2025-06-30,Q2,Q+2,1258754000,687385565,1224369137,-571368435,571368435,45.39,stl_decomposition,False,under
APP,2025-09-30,Q3,Q+1,1405045000,1403265367,1342172202,-1779633,1779633,0.13,beat_adjusted,False,under
APP,2025-09-30,Q3,Q+2,1405045000,1182942219,1342172202,-222102781,222102781,15.81,stl_decomposition,False,under
APP,2025-12-31,Q4,Q+1,1332897000,1678168423,1612094000,345271423,345271423,25.9,beat_adjusted,False,over
APP,2025-12-31,Q4,Q+2,1332897000,2503924094,1612094000,1171027094,1171027094,87.86,stl_decomposition,False,over
APPN,2020-03-31,Q1,Q+1,78864000,105762948,131440000,26898948,26898948,34.11,beat_adjusted,False,over
APPN,2020-06-30,Q2,Q+1,66775000,110778999,139114583,44003999,44003999,65.9,beat_adjusted,False,over
APPN,2020-06-30,Q2,Q+2,66775000,72907150,139114583,6132150,6132150,9.18,stl_decomposition,False,over
APPN,2020-09-30,Q3,Q+1,77304000,89413676,118684376,12109676,12109676,15.67,beat_adjusted,False,over
APPN,2020-09-30,Q3,Q+2,77304000,81914351,118684376,4610351,4610351,5.96,stl_decomposition,False,over
APPN,2020-12-31,Q4,Q+1,81630000,84301993,133969235,2671993,2671993,3.27,beat_adjusted,False,over
APPN,2020-12-31,Q4,Q+2,81630000,72947087,133969235,-8682913,8682913,10.64,stl_decomposition,True,under
APPN,2021-03-31,Q1,Q+1,88855000,48375591,82670000,-40479409,40479409,45.56,beat_adjusted,False,under
APPN,2021-03-31,Q1,Q+2,88855000,81354989,82670000,-7500011,7500011,8.44,stl_decomposition,False,under
APPN,2021-06-30,Q2,Q+1,82999000,59372904,82999000,-23626096,23626096,28.47,beat_adjusted,False,under
APPN,2021-06-30,Q2,Q+2,82999000,79578248,82999000,-3420752,3420752,4.12,stl_decomposition,False,under
APPN,2021-09-30,Q3,Q+1,92417000,69895223,91150000,-22521777,22521777,24.37,beat_adjusted,False,under
APPN,2021-09-30,Q3,Q+2,92417000,88832497,91150000,-3584503,3584503,3.88,stl_decomposition,False,under
APPN,2021-12-31,Q4,Q+1,104988000,88122626,95318333,-16865374,16865374,16.06,beat_adjusted,False,under
APPN,2021-12-31,Q4,Q+2,104988000,93922038,95318333,-11065962,11065962,10.54,stl_decomposition,False,under
APPN,2022-03-31,Q1,Q+1,114266000,112285440,107189600,-1980560,1980560,1.73,beat_adjusted,False,under
APPN,2022-03-31,Q1,Q+2,114266000,104026457,107189600,-10239543,10239543,8.96,stl_decomposition,False,under
APPN,2022-06-30,Q2,Q+1,110063000,108584582,103874800,-1478418,1478418,1.34,beat_adjusted,False,under
APPN,2022-06-30,Q2,Q+2,110063000,97979456,103874800,-12083544,12083544,10.98,stl_decomposition,False,under
APPN,2022-09-30,Q3,Q+1,117876000,123322546,116316308,5446546,5446546,4.62,beat_adjusted,True,over
APPN,2022-09-30,Q3,Q+2,117876000,114459126,116316308,-3416874,3416874,2.9,stl_decomposition,False,under
APPN,2022-12-31,Q4,Q+1,125786000,130575494,123171462,4789494,4789494,3.81,beat_adjusted,True,over
APPN,2022-12-31,Q4,Q+2,125786000,130083898,123171462,4297898,4297898,3.42,stl_decomposition,True,over
APPN,2023-03-31,Q1,Q+1,135235000,136673861,131410000,1438861,1438861,1.06,beat_adjusted,True,over
APPN,2023-03-31,Q1,Q+2,135235000,138950618,131410000,3715618,3715618,2.75,stl_decomposition,True,over
APPN,2023-06-30,Q2,Q+1,127715000,128121764,124290000,406764,406764,0.32,beat_adjusted,True,over
APPN,2023-06-30,Q2,Q+2,127715000,131316297,124290000,3601297,3601297,2.82,stl_decomposition,True,over
APPN,2023-09-30,Q3,Q+1,137094000,138377986,135290000,1283986,1283986,0.94,beat_adjusted,True,over
APPN,2023-09-30,Q3,Q+2,137094000,137825921,135290000,731921,731921,0.53,stl_decomposition,True,over
APPN,2023-12-31,Q4,Q+1,145319000,144133858,140920000,-1185142,1185142,0.82,beat_adjusted,False,under
APPN,2023-12-31,Q4,Q+2,145319000,145661876,140920000,342876,342876,0.24,stl_decomposition,True,over
APPN,2024-03-31,Q1,Q+1,149835000,153549471,149760000,3714471,3714471,2.48,beat_adjusted,True,over
APPN,2024-03-31,Q1,Q+2,149835000,154599376,149760000,4764376,4764376,3.18,stl_decomposition,True,over
APPN,2024-06-30,Q2,Q+1,146450000,145544826,142950000,-905174,905174,0.62,beat_adjusted,False,under
APPN,2024-06-30,Q2,Q+2,146450000,147008531,142950000,558531,558531,0.38,stl_decomposition,True,over
APPN,2024-09-30,Q3,Q+1,154052000,167582752,164280000,13530752,13530752,8.78,beat_adjusted,False,over
APPN,2024-09-30,Q3,Q+2,154052000,153490614,164280000,-561386,561386,0.36,stl_decomposition,True,under
APPN,2024-12-31,Q4,Q+1,166685000,168775843,166998010,2090843,2090843,1.25,beat_adjusted,False,over
APPN,2024-12-31,Q4,Q+2,166685000,163069508,166998010,-3615492,3615492,2.17,stl_decomposition,True,under
APPN,2025-03-31,Q1,Q+1,166426000,161162775,159922070,-5263225,5263225,3.16,beat_adjusted,False,under
APPN,2025-03-31,Q1,Q+2,166426000,168794217,159922070,2368217,2368217,1.42,stl_decomposition,True,over
APPN,2025-06-30,Q2,Q+1,170640000,175010116,173414110,4370116,4370116,2.56,beat_adjusted,False,over
APPN,2025-06-30,Q2,Q+2,170640000,164976813,173414110,-5663187,5663187,3.32,stl_decomposition,True,under
APPN,2025-09-30,Q3,Q+1,187004000,190042219,189330480,3038219,3038219,1.62,beat_adjusted,False,over
APPN,2025-09-30,Q3,Q+2,187004000,172719542,189330480,-14284458,14284458,7.64,stl_decomposition,True,under
APPN,2025-12-31,Q4,Q+1,202867000,189754577,189257300,-13112423,13112423,6.46,beat_adjusted,False,under
APPN,2025-12-31,Q4,Q+2,202867000,186995023,189257300,-15871977,15871977,7.82,stl_decomposition,False,under
AZPN,2019-03-31,Q1,Q+1,147984000,154199298,127944499,6215298,6215298,4.2,beat_adjusted,True,over
AZPN,2019-06-30,Q2,Q+1,195769000,160866427,134206421,-34902573,34902573,17.83,beat_adjusted,False,under
AZPN,2019-06-30,Q2,Q+2,195769000,130335635,134206421,-65433365,65433365,33.42,stl_decomposition,False,under
AZPN,2019-09-30,Q3,Q+1,134091000,144740832,108630683,10649832,10649832,7.94,beat_adjusted,True,over
AZPN,2019-09-30,Q3,Q+2,134091000,130032137,108630683,-4058863,4058863,3.03,stl_decomposition,False,under
AZPN,2019-12-31,Q4,Q+1,124732000,201596700,151190303,76864700,76864700,61.62,beat_adjusted,False,over
AZPN,2019-12-31,Q4,Q+2,124732000,159793664,151190303,35061664,35061664,28.11,stl_decomposition,False,over
AZPN,2020-03-31,Q1,Q+1,132027000,180865144,155220932,48838144,48838144,36.99,beat_adjusted,False,over
AZPN,2020-03-31,Q1,Q+2,132027000,166072943,155220932,34045943,34045943,25.79,stl_decomposition,False,over
AZPN,2020-06-30,Q2,Q+1,199331000,163837190,144449949,-35493810,35493810,17.81,beat_adjusted,False,under
AZPN,2020-06-30,Q2,Q+2,199331000,172392247,144449949,-26938753,26938753,13.51,stl_decomposition,False,under
AZPN,2020-09-30,Q3,Q+2,114971000,119061283,,4090283,4090283,3.56,stl_decomposition,False,over
AZPN,2020-12-31,Q4,Q+1,233718000,267520977,222481555,33802977,33802977,14.46,beat_adjusted,True,over
AZPN,2021-03-31,Q1,Q+1,162726000,173879302,169390000,11153302,11153302,6.85,beat_adjusted,False,over
AZPN,2021-03-31,Q1,Q+2,162726000,123349636,169390000,-39376364,39376364,24.2,stl_decomposition,True,under
AZPN,2021-06-30,Q2,Q+1,197961000,209921302,197961000,11960302,11960302,6.04,beat_adjusted,True,over
AZPN,2021-06-30,Q2,Q+2,197961000,195135815,197961000,-2825185,2825185,1.43,stl_decomposition,False,under
AZPN,2021-09-30,Q3,Q+1,136020000,200080251,182260000,64060251,64060251,47.1,beat_adjusted,False,over
AZPN,2021-09-30,Q3,Q+2,136020000,118257552,182260000,-17762448,17762448,13.06,stl_decomposition,True,under
AZPN,2021-12-31,Q4,Q+1,171356000,179897810,191510000,8541810,8541810,4.98,beat_adjusted,False,over
AZPN,2021-12-31,Q4,Q+2,171356000,148389656,191510000,-22966344,22966344,13.4,stl_decomposition,True,under
AZPN,2022-03-31,Q1,Q+1,187753000,167824338,186382540,-19928662,19928662,10.61,beat_adjusted,False,under
AZPN,2022-03-31,Q1,Q+2,187753000,191831726,186382540,4078726,4078726,2.17,stl_decomposition,True,over
AZPN,2022-06-30,Q2,Q+1,238920000,260435376,285532848,21515376,21515376,9.01,beat_adjusted,False,over
AZPN,2022-06-30,Q2,Q+2,238920000,225283549,285532848,-13636451,13636451,5.71,stl_decomposition,True,under
AZPN,2022-09-30,Q3,Q+1,242838000,206283141,236755770,-36554859,36554859,15.05,beat_adjusted,False,under
AZPN,2022-09-30,Q3,Q+2,242838000,160715947,236755770,-82122053,82122053,33.82,stl_decomposition,False,under
AZPN,2022-12-31,Q4,Q+1,229878000,255307667,271275133,25429667,25429667,11.06,beat_adjusted,False,over
AZPN,2022-12-31,Q4,Q+2,229878000,199113906,271275133,-30764094,30764094,13.38,stl_decomposition,True,under
AZPN,2023-03-31,Q1,Q+1,320643000,242210184,264750000,-78432816,78432816,24.46,beat_adjusted,False,under
AZPN,2023-03-31,Q1,Q+2,320643000,217291752,264750000,-103351248,103351248,32.23,stl_decomposition,False,under
AZPN,2023-06-30,Q2,Q+1,250819000,308975985,326554085,58156985,58156985,23.19,beat_adjusted,False,over
AZPN,2023-06-30,Q2,Q+2,250819000,269735851,326554085,18916851,18916851,7.54,stl_decomposition,False,over
AZPN,2023-09-30,Q3,Q+1,249308000,242709962,264626116,-6598038,6598038,2.65,beat_adjusted,True,under
AZPN,2023-09-30,Q3,Q+2,249308000,314723142,264626116,65415142,65415142,26.24,stl_decomposition,False,over
AZPN,2023-12-31,Q4,Q+1,257163000,249963086,265450000,-7199914,7199914,2.8,beat_adjusted,True,under
AZPN,2023-12-31,Q4,Q+2,257163000,299947020,265450000,42784020,42784020,16.64,stl_decomposition,False,over
AZPN,2024-03-31,Q1,Q+1,278106000,243965493,256559966,-34140507,34140507,12.28,beat_adjusted,False,under
AZPN,2024-03-31,Q1,Q+2,278106000,272108152,256559966,-5997848,5997848,2.16,stl_decomposition,False,under
AZPN,2024-06-30,Q2,Q+1,342905000,300190904,319101335,-42714096,42714096,12.46,beat_adjusted,False,under
AZPN,2024-06-30,Q2,Q+2,342905000,287072407,319101335,-55832593,55832593,16.28,stl_decomposition,False,under
AZPN,2024-09-30,Q3,Q+1,215877000,269638676,265035547,53761676,53761676,24.9,beat_adjusted,False,over
AZPN,2024-09-30,Q3,Q+2,215877000,274750402,265035547,58873402,58873402,27.27,stl_decomposition,False,over
AZPN,2024-12-31,Q4,Q+1,303555000,301261528,305703500,-2293472,2293472,0.76,beat_adjusted,True,under
AZPN,2024-12-31,Q4,Q+2,303555000,301405643,305703500,-2149357,2149357,0.71,stl_decomposition,True,under
BILL,2022-09-30,Q3,Q+1,229924000,236820980,210965244,6896980,6896980,3.0,beat_adjusted,True,over
BILL,2022-12-31,Q4,Q+1,260006000,270062974,243624353,10056974,10056974,3.87,beat_adjusted,True,over
BILL,2022-12-31,Q4,Q+2,260006000,234936391,243624353,-25069609,25069609,9.64,stl_decomposition,False,under
BILL,2023-03-31,Q1,Q+1,272555000,301508770,279980000,28953770,28953770,10.62,beat_adjusted,False,over
BILL,2023-03-31,Q1,Q+2,272555000,278457309,279980000,5902309,5902309,2.17,stl_decomposition,False,over
BILL,2023-06-30,Q2,Q+1,295983000,297448004,281690000,1465004,1465004,0.49,beat_adjusted,True,over
BILL,2023-06-30,Q2,Q+2,295983000,311213073,281690000,15230073,15230073,5.15,stl_decomposition,True,over
BILL,2023-09-30,Q3,Q+1,304985000,311425352,297920000,6440352,6440352,2.11,beat_adjusted,True,over
BILL,2023-09-30,Q3,Q+2,304985000,340708757,297920000,35723757,35723757,11.71,stl_decomposition,True,over
BILL,2023-12-31,Q4,Q+1,318495000,306724663,298140000,-11770337,11770337,3.7,beat_adjusted,False,under
BILL,2023-12-31,Q4,Q+2,318495000,367225098,298140000,48730098,48730098,15.3,stl_decomposition,True,over
BILL,2024-03-31,Q1,Q+1,323028000,342626883,325390000,19598883,19598883,6.07,beat_adjusted,False,over
BILL,2024-03-31,Q1,Q+2,323028000,367976134,325390000,44948134,44948134,13.91,stl_decomposition,False,over
BILL,2024-06-30,Q2,Q+1,343664000,336813265,325780000,-6850735,6850735,1.99,beat_adjusted,False,under
BILL,2024-06-30,Q2,Q+2,343664000,389841133,325780000,46177133,46177133,13.44,stl_decomposition,True,over
BILL,2024-09-30,Q3,Q+1,358450000,359115777,347003224,665777,665777,0.19,beat_adjusted,True,over
BILL,2024-09-30,Q3,Q+2,358450000,378244571,347003224,19794571,19794571,5.52,stl_decomposition,True,over
BILL,2024-12-31,Q4,Q+1,362554000,373390542,359990110,10836542,10836542,2.99,beat_adjusted,True,over
BILL,2024-12-31,Q4,Q+2,362554000,387419552,359990110,24865552,24865552,6.86,stl_decomposition,True,over
BILL,2025-03-31,Q1,Q+1,358217000,384139752,375893900,25922752,25922752,7.24,beat_adjusted,False,over
BILL,2025-03-31,Q1,Q+2,358217000,376227905,375893900,18010905,18010905,5.03,stl_decomposition,False,over
BILL,2025-06-30,Q2,Q+1,383349000,401620713,392617590,18271713,18271713,4.77,beat_adjusted,False,over
BILL,2025-06-30,Q2,Q+2,383349000,396597824,392617590,13248824,13248824,3.46,stl_decomposition,False,over
